Order,Poll,Month,Year,National,Labour,Green,NZFirst,Maori,Act,UF,Cons,Mana,TOP
1,Election,September,2014,47,25.1,10.7,8.7,1.3,0.7,0.2,4,1.4,NA
2,RM,October,2014,43.5,22.5,17.5,7,2,0.5,0.5,5,1,NA
3,RM,November,2014,49.5,24,14.5,6.5,1,0.5,0,2,0.5,NA
4,RM,December,2014,46,27,12,7,2,1.5,0,2.5,1,NA
5,Herald,December,2014,50.4,28.9,9.5,5.6,1.5,0.4,0,2.9,0.2,NA
6,RM,January,2015,52,26,11,6,1.5,1,0,2,0,NA
7,Reid3,January,2015,49.8,29.1,9.3,6.9,1.3,0.4,0,2.7,0.6,NA
8,RM,February,2015,49,30,12,6,1,0,0,1.5,0,NA
9,Colmar1,February,2015,49,31,10,6,1.5,0.3,0,1.4,0.4,NA
10,RM,March,2015,46.5,31,11,6,2,1,0,1.5,0,NA
11,Colmar1,April,2015,49,31,9,7,0.8,0.5,0,1.5,1.1,NA
12,RM,April,2015,45.5,27.5,13.5,8,1.5,1,0,1,0,NA
13,Herald,April,2015,51,28.7,10.8,6.1,0.8,0.8,0,1.1,0,NA
14,RM,May,2015,54,25.5,10.5,6,1,1,0,1,0,NA
15,Colmar1,May,2015,48,31,10,7,1.4,0.1,0,2.3,0,NA
16,Reid3,May,2015,46.4,30.4,11.1,8.1,1.1,0.5,0,1.9,0,NA
17,RM,June,2015,49.5,26,13,6.5,1,1,0,1,0,NA
18,RM,July,2015,43,32,13,7,1.5,0.5,0,1.5,0,NA
19,Colmar1,July,2015,47,32,13,7,0.4,0.4,0,0,0.5,NA
20,Reid3,July,2015,47,31.1,11.4,8.4,0.5,0.5,0.1,0.7,0,NA
21,RM,Aug,2015,50.5,27,11,8,1.5,0.5,0,0,0.5,NA
22,Herald,August,2015,50.8,31,9.2,6.9,1,0.2,0,0.6,0.2,NA
23,Colmar1,September,2015,47,32,12,7,1.2,0.1,0,0.1,0.2,NA
24,RM,September,2015,44.5,31,15,5.5,1.5,0.5,0.5,1,0.5,NA
25,Reid3,September,2015,47.3,33,10,7.9,0.5,0.6,0,0.5,0,NA
26,RM,October,2015,50,29,11.5,6.5,0.5,0.5,0,0.5,0.5,NA
27,Colmar1,October,2015,47,31,12,9,0.8,0.2,0,0.4,0,NA
28,RM,November,2015,49,29.5,12,6,2,0.5,0,0.5,0.5,NA
29,Reid3,November,2015,46.7,32.3,10.2,7.5,1.3,0.8,0,0.7,0,NA
30,RM,December,2015,49,28.5,13,6,1.5,0.5,0.5,0.5,0,NA
31,Herald,December,2015,51.3,31.1,8.2,5.7,2.1,0.8,0.3,0,0,NA
32,RM,January,2016,47,27.5,14,6.5,3,0.5,0,1,0,NA
33,RM,February,2016,48,27,14.5,6,1,0.5,0,1,0.5,NA
34,Colmar1,February,2016,47,32,8,10,1.1,0.3,0,0.6,0.3,NA
35,RM,March,2016,46,28,14,9,1,1,0,0.5,0.5,NA
36,Colmar1,April,2016,50,28,10,9,1.1,0.7,0,0.3,0,NA
37,RM,April,2016,42.5,26,14.5,12.5,1.5,1.5,0,1,0,NA
38,RM,May,2016,45.5,29.5,12,9.5,1,1,0,0.5,0,NA
39,Reid3,May,2016,47,31.3,11.1,7.8,1,0.4,0,0.6,NA,NA
40,Colmar1,June,2016,48,29,12,9,0.7,0.3,0,0.7,0.1,NA
41,RM,June,2016,43.5,28,14.5,9,2,0.5,0,1,1,NA
42,RM,July,2016,53,25.5,11.5,7,0.5,1,0,0.5,0.5,NA
43,Reid3,August,2016,45.1,32.7,11.5,8.1,1.3,0.2,0.1,0.5,NA,NA
44,RM,August,2016,46,25.5,14.5,9.5,1.5,1,0,1,0.5,NA
45,Colmar1,September,2016,48,26,13,11,2,0,0,0.3,0,NA
46,RM,September,2016,41.5,33.5,12,8.5,2,1,0,0.5,0,NA
47,RM,October,2016,48,26.5,11.5,10,1.5,0.5,NA,NA,NA,NA
48,Colmar1,November,2016,50,28,11,10,1,NA,0,0.2,0,NA
49,RM,November,2016,49.5,23,14.5,8,1.5,1,0.5,0.5,0,NA
50,RM,December,2016,45,28.5,14.5,7.5,1,0.5,0,0.5,0.5,NA
51,RM,January,2017,46,27,12.5,9,2,0.5,0.5,0.5,0,NA
52,UMR,Feb,2017,46,30,11,9,NA,NA,NA,NA,NA,NA
53,RM,February,2017,48,26,13,8,2,1,0,0,0,NA
54,UMR,Feb,2017,44,30,12,11,NA,NA,NA,NA,NA,NA
55,Colmar1,February,2017,46,30,11,11,0.7,0.8,0.3,0.2,0.8,NA
56,RM,March,2017,43.5,29.5,14.5,7.5,2,0.5,0.5,0.5,0,NA
57,UMR,March,2017,48,28,12,8,NA,NA,NA,NA,NA,NA
58,Reid3,March,2017,47.1,30.8,11.2,7.6,0.7,0.4,0.4,0.4,0,NA
59,UMR,March,2017,42,30,14,10,NA,NA,NA,NA,NA,NA
60,Colmar1,March,2017,46,30,11,8,4,0.4,0,0.3,0.2,NA
61,UMR,April,2017,44,30,12,10,NA,NA,NA,NA,NA,NA
62,UMR,April,2017,43,28,13,12,NA,NA,NA,NA,NA,NA
63,RM,April,2017,43,29.5,13,10.5,1,1.5,0,0.5,0,NA
64,UMR,May,2017,43,28,12,12,NA,NA,NA,NA,NA,NA
65,RM,May,2017,43,28.5,14,10,1.5,0.5,0,0,0.5,1
66,UMR,May,2017,42,34,13,9,NA,NA,NA,NA,NA,NA
67,Colmar1,May,2017,49,30,9,9,1,1,0,0,0,NA
68,UMR,June,2017,44,30,13,9,NA,NA,NA,NA,NA,NA
69,RM,June,2017,46.5,25.5,14,9,1.5,1,0,0,0.5,NA
70,UMR,June,2017,42,32,13,9,NA,NA,NA,NA,NA,NA
71,Reid3,June,2017,47.4,26.4,12.5,9.4,0.7,0.9,0.3,0.8,NA,0.8
72,UMR,July,2017,43,29,12,11,NA,NA,NA,NA,NA,NA
73,Colmar1,July,2017,47,27,11,11,2,1,0,0,0,1
74,RM,July,2017,43,30.5,13.5,8,1.5,1,0,0,0,NA
75,UMR,July,2017,42,26,13,14,NA,NA,NA,NA,NA,NA
76,Colmar1,July,2017,47,24,15,11,1,0.3,0.1,0,0,2
77,Reid3,July,2017,45.2,24.1,13,13,1.2,0.5,0.2,0,0,2
78,UMR,July,2017,42,23,15,16,NA,NA,NA,NA,NA,NA
79,Reid3,August,2017,44.4,33.1,8.3,9.2,1.5,0.6,0.1,0.3,0.3,2
80,UMR,August,2017,43,36,8,8,NA,NA,NA,NA,NA,NA
81,RM,August,2017,42.5,32.5,9,11.5,1.5,0.5,NA,NA,NA,2
82,Colmar1,August,2017,44,37,4.3,10,1.7,0.4,NA,NA,NA,2.1
83,UMR,August,2017,40,37,8,9,NA,NA,NA,NA,NA,3.5
84,Colmar1,August,2017,41,43,5,8,1,NA,NA,NA,NA,1
